7:12+{1:2};18:5+{2:2};20:16+{0:1};9:15+{0:1};17:14+{2:2};13:6+{0:1};4:11+{2:1};2:8+{2:1};10:1+{0:2};19:3+{1:3};
15:10+{0:0};3:18+{2:0};11:13+{1:3};8:17+{0:0};12:19+{1:0};5:4+{2:2};16:9+{1:1};6:20+{4:0};14:7+{1:1};1:2+{3:1};
19:7+{0:0};1:9+{0:1};10:11+{3:3};20:14+{1:0};12:17+{3:0};13:8+{1:3};5:3+{3:6};15:16+{2:1};6:2+{0:3};18:4+{1:1};
4:1+{2:2};3:12+{4:2};11:19+{0:0};8:10+{4:0};9:18+{0:1};14:6+{2:2};17:5+{0:2};2:15+{0:1};7:20+{4:0};16:13+{2:2};
20:9+{2:2};15:4+{0:3};19:14+{0:0};10:16+{2:2};12:8+{0:1};13:2+{3:1};18:7+{5:3};6:17+{0:1};5:11+{2:3};1:3+{1:1};
2:5+{1:1};3:15+{3:0};11:18+{2:0};16:1+{2:4};7:13+{2:1};8:20+{2:1};14:12+{0:0};4:6+{1:1};17:19+{4:0};9:10+{1:0};
16:11+{2:0};18:19+{2:2};2:17+{2:1};14:9+{3:1};12:10+{2:2};15:1+{0:2};7:5+{2:1};3:4+{2:0};6:8+{1:0};13:20+{2:0};
1:6+{4:1};4:16+{2:2};19:13+{1:3};11:3+{1:2};5:15+{3:0};10:18+{1:0};8:14+{8:0};20:2+{2:3};9:12+{2:1};17:7+{2:2};
13:1+{2:1};2:16+{0:0};8:9+{1:0};14:4+{0:2};17:11+{2:2};12:18+{2:0};19:5+{1:3};6:10+{1:2};7:3+{1:1};20:15+{2:0};
10:2+{1:0};4:19+{3:0};3:20+{2:1};5:12+{0:0};16:8+{0:1};18:17+{0:1};9:13+{2:2};1:7+{1:0};15:6+{1:2};11:14+{1:3};
2:3+{1:2};19:16+{1:0};7:11+{1:0};8:18+{2:0};13:15+{0:0};20:1+{2:2};14:5+{1:1};6:9+{1:2};17:10+{0:2};12:4+{2:1};
3:17+{2:0};5:13+{2:1};18:14+{0:0};1:12+{2:1};10:20+{1:0};9:19+{1:2};4:7+{1:2};11:2+{3:1};16:6+{1:2};15:8+{1:1};
17:4+{0:1};19:15+{1:1};2:9+{1:0};7:16+{3:0};20:18+{3:2};12:11+{1:1};13:10+{1:0};14:3+{0:0};8:1+{0:3};6:5+{2:1};
19:10+{1:1};18:2+{1:3};7:9+{2:1};12:20+{2:0};11:15+{0:1};17:13+{1:2};4:8+{1:0};3:6+{3:0};5:16+{1:1};14:1+{1:4};
