1:9+{2:1};4:11+{2:1};12:13+{1:1};14:18+{0:2};15:10+{0:1};16:2+{0:3};17:5+{2:1};6:8+{0:1};7:3+{2:2};
13:16+{0:1};3:14+{3:1};5:12+{2:0};9:15+{2:0};10:1+{1:1};11:17+{0:4};18:4+{0:0};8:7+{0:4};2:6+{6:1};
14:8+{0:0};1:5+{3:0};2:13+{3:1};4:10+{2:3};6:18+{0:0};7:9+{3:2};16:3+{0:2};12:11+{5:3};17:15+{3:2};
10:17+{1:2};3:2+{0:2};8:16+{1:1};13:14+{2:0};15:1+{3:2};18:12+{0:0};5:4+{1:1};9:6+{2:2};11:7+{3:1};
2:8+{3:0};3:13+{3:0};16:18+{0:2};17:1+{3:3};4:15+{2:2};6:11+{0:3};7:10+{4:1};12:9+{1:2};14:5+{1:3};
18:3+{2:2};5:16+{2:0};9:2+{0:2};10:6+{0:2};11:14+{0:0};15:7+{1:0};1:4+{5:0};17:12+{2:1};8:13+{0:2};
14:9+{3:1};2:11+{2:0};3:8+{3:0};12:10+{3:0};13:18+{1:0};16:15+{0:1};4:17+{2:0};6:5+{2:2};7:1+{1:1};
11:16+{3:3};1:3+{1:2};5:13+{2:2};8:12+{0:2};17:7+{3:1};18:2+{0:5};9:4+{4:0};10:14+{0:0};15:6+{0:1};
14:15+{0:2};3:10+{1:0};12:1+{0:2};13:11+{3:0};16:9+{1:1};18:8+{1:4};6:17+{2:1};2:5+{1:2};7:4+{2:3};
17:16+{1:1};1:6+{0:0};4:12+{1:1};7:14+{2:0};10:8+{1:0};11:3+{3:2};15:2+{0:3};5:18+{3:2};9:13+{2:1};
13:10+{2:1};2:17+{2:0};3:9+{2:1};12:15+{0:0};14:1+{1:3};18:11+{1:1};8:5+{3:1};6:7+{2:4};16:4+{2:4};
1:16+{3:1};4:6+{1:2};7:12+{1:2};10:2+{1:1};15:13+{1:0};17:14+{4:2};5:3+{2:0};9:18+{2:1};11:8+{1:3};
18:15+{2:0};2:7+{5:0};3:17+{1:1};8:9+{1:1};13:1+{1:2};16:10+{0:0};12:6+{3:0};11:5+{1:2};14:4+{1:1};
1:18+{1:1};7:16+{2:0};15:3+{3:1};17:13+{1:3};4:8+{2:0};6:14+{2:1};9:5+{1:4};12:2+{0:2};10:11+{4:2};
18:17+{4:0};3:4+{1:1};5:10+{1:0};13:7+{2:1};14:12+{1:1};16:6+{0:1};2:1+{1:1};11:9+{1:4};8:15+{1:1};
15:11+{2:0};1:8+{2:3};6:3+{3:1};10:18+{2:0};12:16+{1:0};14:2+{0:2};17:9+{4:1};4:13+{2:0};7:5+{3:2};
2:4+{1:1};5:15+{3:0};8:17+{0:2};13:6+{3:1};16:14+{1:1};18:7+{2:1};3:12+{1:3};11:1+{1:3};9:10+{1:1};
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
