10;0,1830;1,1300;2,1330;3,2030;0,2030;1,1530;2,1530;1,1830;1,2030;2,2030;
ttttttttt;20190726:5:2:6:6:3:7:7:7:4;1:2;12:3;6:15;16:5;4:10;8:11;13:14;18:17;7:9;
ttttttttt;20190802:1:1:5:2:6:3:7:7:4;11:7;15:16;9:13;17:12;2:8;5:1;10:6;14:18;3:4;
ttttttttt;20190816:1:1:2:2:2:3:3:3:4;4:11;15:3;1:9;7:14;18:2;6:17;12:5;13:8;16:10;
ttttttttt;20190823:1:1:2:2:2:3:3:3:4;10:12;14:1;2:13;8:7;11:18;3:16;5:15;17:4;9:6;
ttttttttt;20190830:1:1:2:2:2:3:3:3:4;3:5;15:10;7:13;12:9;18:8;4:2;6:14;16:17;1:11;
ttttttttt;20190913:1:1:2:2:2:3:3:3:4;13:18;17:15;2:7;5:6;8:1;10:3;11:12;14:16;9:4;
ttttttttt;20190920:1:1:2:2:2:2:3:3:3;5:10;6:2;1:13;3:17;15:11;18:7;4:14;12:8;16:9;
ttttttttt;20190927:1:1:2:2:2:3:3:3:4;7:1;18:16;8:4;11:10;17:5;9:15;13:6;14:12;2:3;
ttttttttt;20191004:1:1:2:2:2:3:3:3:4;1:18;10:17;4:13;12:2;15:14;3:9;5:11;6:8;16:7;
ttttttttt;20191018:1:1:2:2:2:3:3:3:4;13:12;14:3;8:15;9:10;18:5;1:6;2:16;11:17;7:4;
ttttttttt;20191025:1:1:2:2:2:3:3:3:4;6:11;10:14;4:1;12:7;17:2;3:8;5:9;16:13;15:18;
ttttttttt;20191101:1:1:2:2:2:3:3:3:4;2:15;8:16;9:17;13:10;14:5;1:12;7:6;18:4;11:3;
ttttttttt;20191108:1:1:2:2:2:3:3:3:4;9:11;12:18;6:4;15:13;16:1;3:7;5:2;10:8;17:14;
ttttttttt;20191122:1:1:2:2:2:3:3:3:4;11:16;14:9;4:12;7:15;18:6;1:17;8:5;13:3;2:10;
ttttttttt;20191129:1:1:2:2:2:2:3:3:3;16:4;17:8;3:18;9:2;11:14;12:6;5:13;10:7;15:1;
ttttttttt;20191206:1:1:2:2:2:3:3:3:4;4:5;7:17;2:14;6:16;13:11;8:9;12:15;18:10;1:3;
ttttttttt;20191213:1:1:2:2:2:3:3:3:4;11:2;14:8;5:7;9:18;17:13;3:6;15:4;16:12;10:1;
ttttttttt;20191220:1:1:2:2:2:2:3:3:3;3:12;17:18;2:1;9:7;10:4;14:13;5:16;11:8;15:6;
ttttttttt;20200128:1:5:5:5:8:9:9:9:10;7:11;8:2;13:9;18:14;1:5;6:10;12:17;16:15;4:3;
ttttttttt;20200131:1:1:2:2:2:3:3:3:4;8:13;14:7;2:18;9:1;17:6;3:15;5:12;10:16;11:4;
ttttttttt;20200207:1:1:2:2:2:3:3:3:4;12:10;15:5;1:14;4:17;16:3;7:8;13:2;18:11;6:9;
ttttttttt;20200214:1:1:2:2:2:3:3:3:4;5:3;9:12;2:4;8:18;13:7;10:15;14:6;17:16;11:1;
ttttttttt;20200221:1:1:2:2:2:2:3:3:3;16:14;18:13;1:8;4:9;6:5;12:11;3:10;7:2;15:17;
ttttttttt;20200228:1:1:2:2:2:3:3:3:4;8:12;17:3;10:5;13:1;14:4;7:18;9:16;11:15;2:6;
ttttttttt;20200306:1:1:2:2:2:3:3:3:4;3:2;16:18;4:8;5:17;10:11;6:13;12:14;15:9;1:7;
ttttttttt;20200313:0:0:0:0:0:0:0:0:0;2:12;7:16;8:6;9:3;11:5;13:4;14:15;17:10;18:1;
ttttttttt;20200320:0:0:0:0:0:0:0:0:0;3:14;4:7;5:18;6:1;10:9;12:13;15:8;16:2;17:11;
ttttttttt;20200403:0:0:0:0:0:0:0:0:0;1:4;2:17;7:12;8:3;9:5;11:6;13:16;14:10;18:15;
ttttttttt;20200410:0:0:0:0:0:0:0:0:0;3:11;4:18;5:14;6:7;10:13;12:1;15:2;16:8;17:9;
ttttttttt;20200417:0:0:0:0:0:0:0:0:0;1:16;2:5;4:6;7:3;8:10;11:9;13:15;14:17;18:12;
ttttttttt;20200424:0:0:0:0:0:0:0:0:0;3:13;5:8;6:18;9:14;10:2;12:4;15:7;16:11;17:1;
ttttttttt;20200501:0:0:0:0:0:0:0:0:0;1:15;2:9;4:16;6:12;7:10;8:17;13:5;14:11;18:3;
ttttttttt;20200508:0:0:0:0:0:0:0:0:0;3:1;5:4;9:8;10:18;11:13;14:2;15:12;16:6;17:7;
ttttttttt;20200515:0:0:0:0:0:0:0:0:0;1:10;2:11;4:15;6:3;7:5;8:14;12:16;13:17;18:9;
