CFR Cluj
Piast Gliwice
AIK Solna
Ludogorez Rasgrad
Qarabag Agdam
Roter Stern Belgrad
Celtic Glasgow
BATE Baryssau
FK Astana
Rosenborg Trondheim
NK Maribor
Slovan Bratislava
Sheriff Tiraspol
Partizani Tirana
Valur Reykjavík
Ferencváros Budapest
KF Shkëndija
HJK Helsinki
Dundalk FC
FK Sarajevo
Riga FC
Nomme Kalju
Suduva Marijampole
Sutjeska Niksic
Saburtalo Tiflis
FC Ararat-Armenia
FC Valletta
F91 Düdelingen
Linfield FC
The New Saints FC
HB Tórshavn
V201W
