10;0,1900;1,1400;2,1400;0,2030;0,1830;1,1830;1,1900;27,1900;0,1800;1,1800;
tttttttttt;20160729:4:2:2:2:2:2:2:3:3:3;1:3;6:7;8:13;12:18;14:2;16:15;20:10;4:11;9:5;17:19;
tttttttttt;20160805:1:1:2:2:2:2:2:3:3:8;10:9;11:17;2:8;3:12;13:6;15:14;19:16;5:1;7:20;18:4;
tttttttttt;20160809:5:1:1:1:6:7:7:7:7:7;8:15;4:3;14:19;16:11;17:18;6:2;9:1;10:7;12:5;20:13;
tttttttttt;20160812:1:2:2:2:2:2:2:2:2:3;19:8;1:12;2:20;3:17;5:4;7:9;11:14;13:10;18:16;15:6;
tttttttttt;20160826:5:1:2:2:2:2:2:2:2:2;4:1;17:5;6:19;7:13;8:11;9:12;10:2;14:18;16:3;20:15;
tttttttttt;20160909:9:5:1:2:2:2:2:2:3:3;15:10;13:9;5:16;1:17;2:7;11:6;12:4;19:20;3:14;18:8;
tttttttttt;20160916:1:1:1:2:2:2:2:2:2:2;6:18;14:5;16:1;7:15;8:3;9:4;10:19;13:2;17:12;20:11;
tttttttttt;20160920:5:5:5:1:6:6:7:7:7:7;5:8;15:13;18:20;1:14;3:6;4:17;2:9;11:10;12:16;19:7;
tttttttttt;20160923:2:2:2:2:2:2:2:3:3:3;2:15;6:5;7:11;9:17;13:19;14:12;20:3;8:1;10:18;16:4;
tttttttttt;20160930:1:4:2:2:2:2:2:2:2:3;3:10;18:7;1:6;4:14;5:20;11:13;15:9;17:16;19:2;12:8;
tttttttttt;20161014:1:2:2:2:2:2:2:2:3:3;7:3;8:4;9:16;10:5;13:18;14:17;15:19;20:1;2:11;6:12;
tttttttttt;20161021:2:2:2:2:2:2:2:2:3:3;1:10;3:13;4:6;5:7;11:15;16:14;18:2;19:9;12:20;17:8;
tttttttttt;20161028:1:2:2:2:2:2:2:2:2:2;15:18;2:3;6:17;7:1;8:16;9:14;10:12;13:5;19:11;20:4;
tttttttttt;20161104:2:2:2:2:2:2:2:2:2:2;1:13;3:15;4:10;5:2;11:9;12:7;14:8;16:6;17:20;18:19;
tttttttttt;20161118:1:1:1:2:2:2:2:2:2:2;9:8;11:18;15:5;2:1;6:14;7:4;10:17;13:12;19:3;20:16;
tttttttttt;20161125:1:2:2:2:2:2:2:2:3:3;16:10;1:15;3:11;4:13;5:19;8:6;14:20;17:7;12:2;18:9;
tttttttttt;20161202:5:1:1:2:2:2:2:2:3:3;20:8;7:16;9:6;10:14;11:5;13:17;15:12;18:3;2:4;19:1;
tttttttttt;20161209:2:2:2:2:2:2:2:2:2:3;1:11;4:15;5:18;6:20;8:10;9:3;14:7;16:13;17:2;12:19;
tttttttttt;20161216:1:2:2:2:2:2:2:2:2:3;7:8;2:16;3:5;10:6;11:12;13:14;15:17;19:4;20:9;18:1;
tttttttttt;20170127:2:2:2:2:2:2:2:2:2:2;2:14;3:1;5:9;7:6;10:20;11:4;13:8;15:16;18:12;19:17;
tttttttttt;20170203:2:2:2:2:2:2:2:3:3:3;1:5;6:13;8:2;12:3;14:15;16:19;20:7;4:18;9:10;17:11;
tttttttttt;20170210:1:1:2:2:2:2:2:2:2:3;5:12;15:8;2:6;3:4;7:10;11:16;13:20;18:17;19:14;1:9;
tttttttttt;20170217:1:2:2:2:2:2:2:2:2:3;12:1;4:5;6:15;8:19;9:7;14:11;16:18;17:3;20:2;10:13;
tttttttttt;20170224:5:1:1:2:2:2:2:2:2:3;1:4;3:16;5:17;2:10;11:8;12:9;13:7;15:20;19:6;18:14;
tttttttttt;20170303:1:2:2:2:2:2:2:2:2:3;6:11;4:12;7:2;8:18;9:13;10:15;14:3;16:5;20:19;17:1;
tttttttttt;20170310:5:2:2:2:2:2:2:2:3:3;4:9;1:16;2:13;3:8;5:14;11:20;12:17;15:7;18:6;19:10;
tttttttttt;20170314:9:1:1:1:1:7:7:7:7:7;17:4;8:5;9:2;13:15;14:1;6:3;7:19;10:11;16:12;20:18;
tttttttttt;20170317:1:2:2:2:2:2:2:2:3:3;17:9;1:8;3:20;5:6;11:7;12:14;15:2;18:10;4:16;19:13;
tttttttttt;20170324:2:2:2:2:2:2:2:2:2:3;2:19;6:1;7:18;8:12;9:15;10:3;13:11;14:4;20:5;16:17;
tttttttttt;20170331:5:2:2:2:2:2:2:2:3:3;12:6;1:20;3:7;4:8;11:2;16:9;17:14;19:15;5:10;18:13;
tttttttttt;20170404:1:1:1:4:10:7:7:7:7:7;8:17;15:11;20:12;6:4;2:18;7:5;9:19;10:1;13:3;14:16;
tttttttttt;20170407:2:2:2:2:2:2:2:3:3:3;1:7;3:2;5:13;11:19;16:8;17:6;18:15;4:20;12:10;14:9;
tttttttttt;20170414:0:0:0:0:0:0:0:0:0:0;2:5;6:16;7:12;8:14;9:11;10:4;13:1;15:3;19:18;20:17;
tttttttttt;20170421:0:0:0:0:0:0:0:0:0:0;1:2;3:19;4:7;5:15;8:9;12:13;14:6;16:20;17:10;18:11;
tttttttttt;20170428:0:0:0:0:0:0:0:0:0:0;2:12;6:8;7:17;9:18;10:16;11:3;13:4;15:1;19:5;20:14;
tttttttttt;20170505:0:0:0:0:0:0:0:0:0:0;1:19;3:18;4:2;5:11;6:9;8:20;12:15;14:10;16:7;17:13;
tttttttttt;20170512:0:0:0:0:0:0:0:0:0:0;2:17;3:9;7:14;10:8;11:1;13:16;15:4;18:5;19:12;20:6;
tttttttttt;20170519:0:0:0:0:0:0:0:0:0:0;1:18;4:19;5:3;6:10;8:7;9:20;12:11;14:13;16:2;17:15;
